Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
2005,28,100,29.6,25.9,92.1,82.6,22.8,8.1,5.2,3.7,Whitebackedplanthopper,Maruteru
2003,6,0,31.4,18.1,79.1,35,0,4.4,8.7,4.7,LeafBlast,Rajendranagar
2010,46,64,29.7,19.2,90.1,52,6.8,3.1,8.2,3,Yellowstemborer,Cuttack
2008,6,0,15.4,4.2,98.6,59.9,0.8,4.4,5.2,1.4,Brownplanthopper,Ludhiana
2007,40,76,33.8,16.9,91.7,39,0,3.6,10.3,4,LeafFolder,Ludhiana
2007,44,362,26.4,23,89,83.6,49.5,1.5,4.3,2.4,ZigZagleafhopper,Maruteru
2003,16,0,35.8,25.9,91.4,50.9,0,7.9,9.3,6.2,Brownplanthopper,Cuttack
1995,5,0,28.1,13.6,84.6,35.4,0,3.8,9.3,3.7,Greenleafhopper,Rajendranagar
2008,18,65,38.6,26.8,90.7,45.1,0,4.2,6.5,4.7,Miridbug,Maruteru
2006,42,1719,30.2,23.4,88.3,69.6,4.2,1.6,6.4,2.8,ZigZagleafhopper,Maruteru
2000,40,5,33,21.8,77.7,43.1,0,1.7,8.6,4.4,LeafBlast,Rajendranagar
2005,17,2,34.9,25.5,87.1,63,0,4.2,7.6,4.7,LeafFolder,Maruteru
2001,14,7360,32.4,22.8,88.9,58.5,0,3.4,8.4,4.4,Gallmidge,Maruteru
1985,26,0,30.5,20.3,59,52.3,45.5,5.1,5.8,7,LeafBlast,Palampur
2011,41,670,30.6,24.9,85.3,53,34.8,0,6.2,0,Gallmidge,Maruteru
2000,41,8.2,32.5,21.4,88.9,51.1,8.4,1.1,6.7,2.9,LeafBlast,Rajendranagar
2008,5,0,16.7,2.9,95.7,46.9,2.4,3.8,6.4,1.5,Brownplanthopper,Ludhiana
2010,50,145,28.1,15.9,90.3,49.6,7.6,3.1,8.4,6.8,Miridbug,Rajendranagar
1997,32,432,30.9,23.5,91.4,76,26.9,5.9,6.3,25.6,Yellowstemborer,Maruteru
2003,43,0,25.3,12.1,60.7,46.3,0,3.6,9.2,3.8,LeafBlast,Palampur
1986,5,0,16.7,5.9,48.3,34.7,0,6.4,7.2,2.5,LeafBlast,Palampur
1997,13,0,20.8,10.8,62.7,60.6,23.9,5.6,6.1,3,LeafBlast,Palampur
2002,33,0,31.8,25.7,94,74.1,37.4,4.7,3,3.8,Gallmidge,Cuttack
2001,40,301,28.3,21.8,92.6,75.6,139.6,2.5,2.6,2.2,Yellowstemborer,Rajendranagar
2001,28,0,33.5,26.9,87.9,72.7,63,3.2,6.7,3.8,Whitebackedplanthopper,Ludhiana
2010,31,0,33.3,27.5,85.9,67.1,2.4,9.2,8.3,5.4,Yellowstemborer,Ludhiana
2010,50,22,27.3,20.1,88.1,65.4,0,2.3,4.3,2.6,LeafFolder,Maruteru
2001,17,0,38.9,20,54.7,13.3,0,3.8,10.9,8.3,Whitebackedplanthopper,Ludhiana
2005,10,75,31.1,20.6,75.9,64.4,0,1.8,9.3,3.5,Greenleafhopper,Maruteru
2008,5,0,30.6,14.8,72.6,34.1,0,3.6,9.3,5,Brownplanthopper,Rajendranagar
1998,3,0,32.1,17.1,88.1,38.9,0,2.5,8.8,4.2,Gallmidge,Rajendranagar
1996,39,0,33.1,22.3,90.9,55,2.8,2.3,8.4,3.9,LeafBlast,Rajendranagar
2004,41,377,29.9,23.6,91.6,82.7,72.4,2.7,5.8,3.1,ZigZagleafhopper,Maruteru
2010,29,0,30,22.7,89.4,78.1,82.1,12,4.7,4.1,Caseworm,Rajendranagar
1990,36,38.5,24.1,18.2,86,83.7,178.7,4.9,3,2.1,LeafBlast,Palampur
2000,22,0,35.9,25.1,74,45.6,25,5.5,8.5,7.4,Brownplanthopper,Rajendranagar
1998,8,0,34.3,16.9,71.3,26.1,0,1.7,10.9,6.5,Gallmidge,Rajendranagar
1998,22,0,45.5,28.8,38.6,16.9,0,7.1,9,13.5,Gallmidge,Raipur
2007,8,45,26.6,19.6,86.7,53.1,0,6.4,9.9,3.2,Gallmidge,Maruteru
1998,8,277,31.1,17.1,88.9,40.7,3.2,2.6,9,4.3,Yellowstemborer,Raipur
1994,5,0,31.3,14.5,75,31.7,0,4.2,10.4,3.4,Gallmidge,Rajendranagar
2001,49,122,30.4,16.5,85.9,65.4,0,2.3,8.7,2.7,Gallmidge,Maruteru
2003,36,0,19.5,18.3,89.6,80.3,110,3.9,4.7,2.5,LeafBlast,Palampur
2007,46,6400,27.6,11.2,96.1,35,0,1.7,3.6,1.9,Greenleafhopper,Ludhiana
2005,8,70,35,24.6,88.7,61.3,0,3.7,7.5,4.6,LeafFolder,Maruteru
1984,39,36,25.5,13.4,62.1,53.7,0,4.7,8.1,3.8,LeafBlast,Palampur
2007,38,0,31.5,24.2,90.3,71.7,23.6,4.6,7,4.7,LeafFolder,Raipur
1996,45,0,30.4,18,84.9,63.7,0,2.8,9.4,4,Yellowstemborer,Cuttack
