Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
2007,40,0,28.5,24.1,94.1,77.6,78.4,1.8,2.2,2.9,Gallmidge,Maruteru
2001,19,10,35.6,26,87.1,54.5,0,4.8,8.5,4.8,Whitebackedplanthopper,Maruteru
2007,20,0,42,26.9,53.6,19.9,1.2,6.7,7.5,10.6,Yellowstemborer,Raipur
2011,37,12,31.3,22.5,89,74.4,1,0,0,0,Greenleafhopper,Rajendranagar
2011,11,0,29.3,14,94.1,55.7,0,0,8.4,0,Gallmidge,Ludhiana
1975,23,0,35.9,24.3,71.9,43.7,1.4,11.1,9.6,10.2,Yellowstemborer,Rajendranagar
2001,16,18888,32.9,22.3,87.4,60.9,0,4.2,8.7,4.8,Miridbug,Maruteru
2009,27,0,31.9,25.7,87.3,75.7,66.3,1.7,0.4,5.1,Caseworm,Maruteru
1994,40,0,30.1,23.9,90,76,58.1,2,4.9,21.1,Yellowstemborer,Maruteru
1997,3,0,25.4,10.6,93.6,43.4,6.6,1.1,6.7,2.6,Greenleafhopper,Raipur
1998,5,456,27.7,16.8,95.4,63.1,22.8,1.8,5.7,2.5,Yellowstemborer,Raipur
2003,14,0,24.3,11.8,49.1,41.1,15.2,7.6,8,3.6,LeafBlast,Palampur
2008,43,5,28.5,22,90.3,82.7,27,1.6,4.2,2.9,Gallmidge,Maruteru
2007,6,0,31.9,16.5,83.4,31.1,0,4.3,9.2,4.7,Gallmidge,Rajendranagar
2008,15,11900,34.7,21.1,71.6,39.9,26,2.8,8.8,5.5,Miridbug,Rajendranagar
2006,25,0,32.1,23.6,89.7,66.7,123.1,1.8,3.2,5.3,Whitebackedplanthopper,Maruteru
1981,31,0,27.5,21.8,95.7,80.8,87.8,15,1.8,3,Yellowstemborer,Rajendranagar
1984,50,0,20.2,7.8,36.1,29.7,0,4.3,9.3,2.5,LeafBlast,Palampur
2008,50,1100,27.9,19.6,91.3,67.3,0,2.3,6.3,2.6,ZigZagleafhopper,Maruteru
2011,33,20,29.9,24,96,80.4,32.1,0,4.9,0,Brownplanthopper,Ludhiana
